,Solubility(%),pdb
133,51,pdb1yac.ent
134,51,pdb1v58.ent
135,51,pdb1g76.ent
136,51,pdb1eix.ent
137,52,pdb1r9q.ent
138,52,pdb1qwd.ent
139,52,pdb1kk9.ent
140,52,pdb1dw9.ent
141,54,pdb4fua.ent
142,54,pdb1k6d.ent
143,55,pdb1mpq.ent
144,56,pdb1ef9.ent
145,57,pdb1vhm.ent
146,58,pdb1gyt.ent
147,59,pdb1r30.ent
148,59,pdb1os1.ent
149,59,pdb1kmn.ent
150,60,pdb1ce8.ent
151,61,pdb1r6b.ent
152,61,pdb1psd.ent
153,61,pdb1hxq.ent
154,62,pdb1wdn.ent
155,62,pdb1q8f.ent
156,62,pdb1pmo.ent
157,62,pdb1pg4.ent
158,62,pdb1nt4.ent
159,62,pdb1a99.ent
160,63,pdb3r1r.ent
161,63,pdb1vhz.ent
162,63,pdb1p7m.ent
163,63,pdb1mbx.ent
164,64,pdb2nul.ent
165,64,pdb1uae.ent
166,64,pdb1p87.ent
167,64,pdb1mat.ent
168,64,pdb1m33.ent
169,64,pdb1h5s.ent
170,66,pdb1sr3.ent
171,66,pdb1q07.ent
172,66,pdb1mkb.ent
173,66,pdb1g7o.ent
174,66,pdb1dkl.ent
175,67,pdb1v7u.ent
176,67,pdb1q0n.ent
177,67,pdb1lru.ent
178,67,pdb1ko0.ent
179,67,pdb1ini.ent
180,67,pdb1get.ent
181,68,pdb1kkg.ent
182,69,pdb1ni9.ent
183,70,pdb1s5u.ent
184,70,pdb1hru.ent
185,70,pdb1gyn.ent
186,71,pdb1ua8.ent
187,71,pdb1p86.ent
188,72,pdb1oro.ent
189,72,pdb1a2j.ent
190,73,pdb1viu.ent
191,73,pdb1t3d.ent
192,73,pdb1s7c.ent
193,73,pdb1rch.ent
194,73,pdb1a0p.ent
195,74,pdb1olt.ent
196,74,pdb1g4b.ent
197,74,pdb1clh.ent
198,75,pdb1sv6.ent
199,75,pdb1pqe.ent
200,75,pdb1n51.ent
201,75,pdb1eum.ent
202,76,pdb1rya.ent
203,76,pdb1r3f.ent
204,76,pdb1qu9.ent
205,76,pdb1q8r.ent
206,76,pdb1p86.ent
207,77,pdb2ush.ent
208,77,pdb2glt.ent
209,77,pdb1s1m.ent
210,77,pdb1rrm.ent
211,77,pdb1psu.ent
212,77,pdb1p87.ent
213,77,pdb1p86.ent
214,77,pdb1j2r.ent
215,78,pdb1vix.ent
216,78,pdb1vi8.ent
217,78,pdb1fq0.ent
218,78,pdb1ew9.ent
219,79,pdb1usk.ent
220,79,pdb1pv2.ent
221,79,pdb1f0x.ent
222,79,pdb1ekx.ent
223,80,pdb1ixh.ent
224,80,pdb1fov.ent
225,81,pdb1t0u.ent
226,81,pdb1p87.ent
227,81,pdb1ni7.ent
228,81,pdb1kqg.ent
229,81,pdb1jgs.ent
230,81,pdb1jdi.ent
231,81,pdb1dds.ent
232,82,pdb1spv.ent
233,82,pdb1qya.ent
234,82,pdb1k0g.ent
235,82,pdb1il2.ent
236,82,pdb1i7h.ent
237,82,pdb1eej.ent
238,83,pdb1ryk.ent
239,83,pdb1p87.ent
240,83,pdb1a6j.ent
241,84,pdb1vi2.ent
242,84,pdb1p87.ent
243,84,pdb1nvi.ent
244,85,pdb1rqj.ent
245,85,pdb1onr.ent
246,85,pdb1n8o.ent
247,85,pdb1ksv.ent
248,85,pdb1iwn.ent
249,86,pdb1s03.ent
250,86,pdb1pf9.ent
251,86,pdb1p86.ent
252,86,pdb1m5y.ent
253,86,pdb1jnt.ent
254,86,pdb1hw2.ent
255,86,pdb1dpp.ent
256,87,pdb5abp.ent
257,87,pdb1qpu.ent
258,87,pdb1pf5.ent
259,87,pdb1ln4.ent
260,87,pdb1gvh.ent
261,87,pdb1ekr.ent
262,88,pdb5tmp.ent
263,88,pdb2rec.ent
264,88,pdb1qfj.ent
265,88,pdb1j6t.ent
266,88,pdb1gqt.ent
267,88,pdb1g8e.ent
268,89,pdb1tkd.ent
269,89,pdb1qyn.ent
270,89,pdb1k4k.ent
271,89,pdb1gso.ent
272,89,pdb1di7.ent
273,89,pdb1cmc.ent
274,90,pdb2fmt.ent
275,90,pdb1p86.ent
276,90,pdb1kyg.ent
277,90,pdb1b9l.ent
278,90,pdb12as.ent
279,91,pdb1p87.ent
280,91,pdb1l0v.ent
281,91,pdb1k75.ent
282,91,pdb1jxa.ent
283,91,pdb1i8d.ent
284,92,pdb1oj7.ent
285,92,pdb1mjc.ent
286,92,pdb1lv3.ent
287,92,pdb1jx7.ent
288,92,pdb1i9d.ent
289,92,pdb1hnk.ent
290,92,pdb1ega.ent
291,93,pdb2eip.ent
292,93,pdb1q7b.ent
293,93,pdb1ml5.ent
294,93,pdb1gz0.ent
295,94,pdb1urp.ent
296,94,pdb1p87.ent
297,94,pdb1ks2.ent
298,94,pdb1gn8.ent
299,94,pdb1ah9.ent
300,95,pdb1ps6.ent
301,95,pdb1k7k.ent
302,95,pdb1hv9.ent
303,96,pdb2liv.ent
304,96,pdb1pb3.ent
305,96,pdb1mul.ent
306,96,pdb1lls.ent
307,96,pdb1du2.ent
308,96,pdb1bfr.ent
309,97,pdb1tre.ent
310,97,pdb1jhh.ent
311,97,pdb1iov.ent
312,97,pdb1ey1.ent
313,97,pdb1euw.ent
314,97,pdb1dyu.ent
315,97,pdb1dcj.ent
316,98,pdb1np6.ent
317,98,pdb1n3g.ent
318,98,pdb1jkx.ent
319,99,pdb1wod.ent
320,99,pdb1p87.ent
321,99,pdb1ml8.ent
322,99,pdb1jw2.ent
323,99,pdb1ahn.ent
324,100,pdb2azo.ent
325,100,pdb1qr7.ent
326,100,pdb1fa8.ent
327,101,pdb1p86.ent
328,101,pdb1p86.ent
329,101,pdb1or7.ent
330,101,pdb1nye.ent
331,103,pdb1p87.ent
332,103,pdb1h75.ent
333,105,pdb1r2k.ent
334,105,pdb1cl0.ent
335,105,pdb1ake.ent
336,106,pdb1pxf.ent
337,106,pdb1nmn.ent
338,108,pdb1pus.ent
339,108,pdb1k4n.ent
340,108,pdb1dj8.ent
341,109,pdb1pw7.ent
342,109,pdb1pky.ent
343,109,pdb1p87.ent
344,110,pdb1ety.ent
345,112,pdb1vi3.ent
346,112,pdb1p87.ent
347,112,pdb1p86.ent
348,112,pdb1ik4.ent
349,113,pdb1p87.ent
350,113,pdb1ew4.ent
351,113,pdb1cfz.ent
352,114,pdb1oi4.ent
353,115,pdb1s96.ent
354,116,pdb1iez.ent
355,117,pdb1tug.ent
356,129,pdb1p87.ent
357,133,pdb1jyh.ent
